NM_MUN,year,area_km
Itupiranga,2023.0,27.762275601181507
Jacareacanga,2008.0,23.423622946212955
Jacareacanga,2009.0,15.052556069785389
Jacareacanga,2010.0,26.38686375621203
Jacareacanga,2011.0,28.006464008266004
Jacareacanga,2012.0,33.2349128020406
Jacareacanga,2013.0,22.684512053953732
Jacareacanga,2014.0,24.659766919588595
Jacareacanga,2015.0,31.576168628762098
Jacareacanga,2016.0,51.36205839948253
Jacareacanga,2017.0,36.02209546369145
Jacareacanga,2018.0,51.95703746462274
Jacareacanga,2019.0,94.22939534815124
Jacareacanga,2020.0,88.97437808273222
Jacareacanga,2021.0,110.73568472111519
Jacareacanga,2022.0,108.19920126615925
Jacareacanga,2023.0,58.18578500294267
Jacundá,2008.0,5.963256650478431
Jacundá,2009.0,3.618344731478881
Jacundá,2010.0,7.039492053647431
Jacundá,2011.0,2.302846769144461
Jacundá,2012.0,0.896941309169254
Jacundá,2013.0,1.8504259838863009
Jacundá,2014.0,1.960441475958799
Jacundá,2015.0,3.3650743278670068
Jacundá,2016.0,2.158686838655001
Jacundá,2017.0,2.016562679871812
Jacundá,2018.0,2.724261085071555
Jacundá,2019.0,3.960081651052426
Jacundá,2020.0,3.8709530924195112
Jacundá,2021.0,1.5064429899840341
Jacundá,2022.0,1.582568863164729
Jacundá,2023.0,2.546740734127891
Juruti,2008.0,11.441171478547224
Juruti,2009.0,14.252914128377123
Juruti,2010.0,7.465478700615408
Juruti,2011.0,6.103692517989254
Juruti,2012.0,1.373061373087999
Juruti,2013.0,2.164836910758968
Juruti,2014.0,12.831186436298731
Juruti,2015.0,8.232631124481935
Juruti,2016.0,3.893674399659902
Juruti,2017.0,11.588861537036447
Juruti,2018.0,5.279888056120341
Juruti,2019.0,15.622756659636991
Juruti,2020.0,9.272052880191014
Juruti,2021.0,4.371764642255884
Juruti,2022.0,15.60347830855257
Juruti,2023.0,8.51523803113435
Limoeiro do Ajuru,2008.0,0.075272332268109
Limoeiro do Ajuru,2009.0,0.329786885242428
Limoeiro do Ajuru,2010.0,3.236534399040331
Limoeiro do Ajuru,2011.0,0.06766073706373
Limoeiro do Ajuru,2016.0,0.181306755496598
Limoeiro do Ajuru,2017.0,0.149821788650269
Limoeiro do Ajuru,2019.0,0.132181082265753
Limoeiro do Ajuru,2020.0,0.255437318664571
Limoeiro do Ajuru,2021.0,0.344383789201385
Limoeiro do Ajuru,2023.0,0.138296839554958
Magalhães Barata,2008.0,0.407761085592373
Magalhães Barata,2010.0,0.529301081460172
Magalhães Barata,2011.0,0.13524740027759202
Magalhães Barata,2013.0,0.57979637957626
Magalhães Barata,2015.0,0.277477536393978
Magalhães Barata,2017.0,0.344018888614963
Magalhães Barata,2018.0,0.519698947319128
Magalhães Barata,2019.0,0.248362342833496
Magalhães Barata,2020.0,1.722438215371719
Magalhães Barata,2021.0,1.214530982941107
Magalhães Barata,2022.0,0.318423246720529
Magalhães Barata,2023.0,0.187791368885945
Marabá,2008.0,360.3994821314914
Marabá,2009.0,112.13131006324062
Marabá,2010.0,79.65259629718305
Marabá,2011.0,65.21488775715767
Marabá,2012.0,53.27945390940016
Marabá,2013.0,82.06779974373549
Marabá,2014.0,38.9293048590177
Marabá,2015.0,46.44582941111232
Marabá,2016.0,101.08858237844281
Marabá,2017.0,42.37457648798904
Marabá,2018.0,49.32807307657093
Marabá,2019.0,68.83571644414033
Marabá,2020.0,61.055129478598076
Marabá,2021.0,75.33684012915687
Marabá,2022.0,43.284985944791956
Marabá,2023.0,36.72348256565765
Maracanã,2008.0,1.293543530028981
Maracanã,2009.0,0.519292111184909
Maracanã,2010.0,2.138437126258293
Maracanã,2011.0,0.585530171936295
Maracanã,2012.0,0.411469628836799
Maracanã,2013.0,1.490025229858728
Maracanã,2014.0,0.188804295245263
Maracanã,2015.0,0.6402660898014579
Maracanã,2016.0,0.635926254661817
Maracanã,2017.0,1.531398114682804
Maracanã,2018.0,1.073360688993599
Maracanã,2019.0,1.637573680988141
Maracanã,2020.0,0.960009082949525
Maracanã,2021.0,0.594686332373279
Maracanã,2022.0,0.336245415533068
Maracanã,2023.0,0.30223056014891303
Marapanim,2008.0,4.698456088706506
Marapanim,2009.0,1.825295948265505
Marapanim,2010.0,0.978713674775026
Marapanim,2011.0,0.22504458622943702
Marapanim,2013.0,1.531000430530927
Marapanim,2014.0,0.28410915889979
Marapanim,2015.0,1.44647821588729
Marapanim,2016.0,0.514315081318259
Marapanim,2017.0,0.687880086268592
Marapanim,2018.0,0.808912593159798
Marapanim,2020.0,0.72722159762575
Marapanim,2021.0,1.345273124484244
Marapanim,2022.0,0.704712319817681
Marapanim,2023.0,0.16316746609318
Marituba,2011.0,0.070344728540922
Marituba,2019.0,0.104701012269665
Medicilândia,2008.0,28.541507638634464
Medicilândia,2009.0,55.36209564314212
Medicilândia,2010.0,46.65728143343752
Medicilândia,2011.0,29.38739744300075
Medicilândia,2012.0,21.15665119769602
Medicilândia,2013.0,38.08225963602681
Medicilândia,2014.0,17.206464362377858
Medicilândia,2015.0,17.950007383766536
Medicilândia,2016.0,7.972701180495733
Medicilândia,2017.0,116.23331332020376
Medicilândia,2018.0,62.96848233951001
Medicilândia,2019.0,113.04588681352675
Medicilândia,2020.0,64.45689076671503
Medicilândia,2021.0,105.19484052873344
Medicilândia,2022.0,102.18366112316698
Medicilândia,2023.0,97.15440232676316
Melgaço,2008.0,4.494079776294668
Melgaço,2009.0,0.069544579293452
Melgaço,2010.0,0.960503440100509
Melgaço,2011.0,0.432174998421677
Melgaço,2012.0,2.186047488171623
Melgaço,2013.0,0.6392228385420891
Melgaço,2014.0,1.564252988085461
Melgaço,2015.0,0.258019013155938
Melgaço,2016.0,0.598455734209749
Melgaço,2017.0,2.922280136578484
Melgaço,2018.0,1.554314569884531
Melgaço,2019.0,2.553594565853885
Melgaço,2020.0,2.1918648595998462
Melgaço,2021.0,1.849792695519794
Melgaço,2022.0,1.91718921254724
Melgaço,2023.0,0.741173573165436
Mocajuba,2008.0,0.500327532406616
Mocajuba,2009.0,0.338969459994667
Mocajuba,2010.0,1.969750248956975
Mocajuba,2011.0,0.575533549622005
Mocajuba,2012.0,0.314475479035781
Mocajuba,2013.0,0.159287589666271
Mocajuba,2014.0,0.230473411103725
Mocajuba,2016.0,0.307972991725134
Mocajuba,2017.0,0.304772186031741
Mocajuba,2018.0,0.366602993913978
Mocajuba,2019.0,0.172614419036557
Mocajuba,2020.0,0.087664632752309
Mocajuba,2021.0,0.067296670655652
Mocajuba,2023.0,0.28526277273885203
Moju,2008.0,117.1739897705311
Moju,2009.0,67.32103011581694
Moju,2010.0,116.95046775118816
Moju,2011.0,43.17425298534476
Moju,2012.0,43.55425694013487
Moju,2013.0,36.66330226146107
Moju,2014.0,25.088154370214138
Moju,2015.0,25.910133061262567
Moju,2016.0,30.514676590506095
Moju,2017.0,43.19655935298316
Moju,2018.0,34.0830445066481
Moju,2019.0,28.346553796238204
Moju,2020.0,36.56600226595283
Moju,2021.0,56.43145169395024
Moju,2022.0,74.71930210540292
Moju,2023.0,97.24152426400543
Mojuí dos Campos,2008.0,25.78585657282766
Mojuí dos Campos,2009.0,30.473654822417682
Mojuí dos Campos,2010.0,13.050091863868724
Mojuí dos Campos,2011.0,10.881455853138778
Mojuí dos Campos,2012.0,11.42817563647283
Mojuí dos Campos,2013.0,3.998982128331065
Mojuí dos Campos,2014.0,6.239790356798859
Mojuí dos Campos,2015.0,32.066492942407365
Mojuí dos Campos,2016.0,10.381901160239167
Mojuí dos Campos,2017.0,20.308393738628368
Mojuí dos Campos,2018.0,26.373288550686688
Mojuí dos Campos,2019.0,45.551422043798475
Mojuí dos Campos,2020.0,36.023892444534816
Mojuí dos Campos,2021.0,63.71580465316341
Mojuí dos Campos,2022.0,87.1397752141574
Mojuí dos Campos,2023.0,103.5222442402868
Monte Alegre,2008.0,32.628591034882255
Monte Alegre,2009.0,7.372215661489097
Monte Alegre,2010.0,20.765008277961318
Monte Alegre,2011.0,10.853305852907216
Monte Alegre,2012.0,15.109258114250729
Monte Alegre,2013.0,9.670407609037895
Monte Alegre,2014.0,15.750801031755154
Monte Alegre,2015.0,11.255881279164756
Monte Alegre,2016.0,24.08348461313752
